Guide,Priority Number,Days Off,Days Off Time,Set Day/Time,Max tours,Duties
Bert,1,Sunday;1/20/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Stephen,2,1/21/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Cindy,3,1/22/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Curt,4,1/23/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Paulette,5,1/24/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Chip,6,1/25/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Colleen,7,1/26/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Darrel,8,2/20/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
David,9,2/21/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Heather,10,2/22/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Jackie,11,2/23/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Joanna,12,2/24/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Joe,13,2/25/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Jordan,14,2/26/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Marie,15,2/20/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Mason,16,2/21/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Raheem,17,2/22/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
RJ,18,2/23/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Robin,19,2/24/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
RobinS,20,2/25/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Ryan,21,2/26/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
Ted,22,3/27/2019,ALL,Saturday-1100;Tuesday-1200,2,Greenwich;Chinatown;Nolita
